name,ID
,Solyc12g096400.1
,Solyc12g017340.1
,Solyc08g081930.2
,Solyc04g008930.1
,Solyc01g096280.1
,Solyc02g088910.2
,Solyc06g051060.2
,Solyc01g097720.1
,Solyc10g011860.1
,Solyc06g074320.2
,Solyc03g114820.2
,Solyc09g091880.2
,Solyc02g093980.2
,Solyc09g011560.2
,Solyc02g083250.2
,Solyc12g055680.1
,Solyc06g036420.1
,Solyc07g052460.2
,Solyc08g083230.1
,Solyc02g088240.2
,Solyc08g048260.1
,XM_004240864.1
,Solyc11g072200.1
,Solyc01g102340.2
,Solyc05g005870.2
,Solyc07g053370.1
,Solyc06g060900.1
,Solyc01g097570.2
,XM_004237817.1
,Solyc03g005530.1
,Solyc11g065910.1
,Solyc11g011050.1
,Solyc03g114940.2
,Solyc12g006430.1
,Solyc01g088110.1
,Solyc01g079960.2
,XM_004238859.1
,XM_004249520.1
,Solyc07g009090.2
,XM_004245691.1
,Solyc08g075600.1
,Solyc08g005500.2
,Solyc09g098620.1
,Solyc05g053860.2
,Solyc01g087010.2
,Solyc09g075680.1
,Solyc00g019960.1
,Solyc09g092520.2
,Solyc02g032030.1
,Solyc08g076470.2
,Solyc04g014770.1
,Solyc01g098560.2
,Solyc01g006820.2
,Solyc06g066830.2
,Solyc03g111710.2
,Solyc12g088400.1
,Solyc04g078270.2
,Solyc03g123780.2
,Solyc01g105550.1
,Solyc01g073720.2
,Solyc12g099580.1
,Solyc01g005850.1
,Solyc05g055220.1
,Solyc02g086300.2
,XM_004230963.1
,XM_004242720.1
,Solyc10g007600.2
,Solyc12g005940.1
,Solyc05g055990.2
,Solyc06g072700.2
,Solyc08g014050.1
,Solyc06g053510.2
,XM_004238632.1
,Solyc02g070080.2
,Solyc05g014000.2
,XM_004239190.1
,Solyc10g005640.2
,Solyc10g080460.1
,Solyc02g083670.2
,XM_004231415.1
,Solyc08g065360.2
,Solyc06g072220.1
,Solyc01g087440.2
,Solyc10g085610.1
,Solyc10g047260.1
,Solyc05g018930.1
,Solyc02g083410.2
,Solyc05g005520.1
,XM_004232445.1
,Solyc05g014290.2
,Solyc02g094860.1
,XM_004249625.1
,Solyc01g005880.1
,Solyc01g067510.2
,Solyc09g075040.2
,Solyc02g094300.2
,Solyc08g061490.2
,Solyc12g049140.1
,Solyc09g090010.2
,Solyc07g054880.2
,Solyc04g080250.2
,Solyc04g028430.1
,Solyc05g041870.1
,XM_004251549.1
,---
,Solyc01g080920.2
,Solyc03g006060.2
,Solyc09g025230.2
,Solyc10g055190.1
,Solyc12g009270.1
,Solyc05g055970.2
,Solyc02g082880.2
,Solyc11g010160.1
,Solyc02g078150.2
,Solyc07g064410.1
,Solyc02g084590.2
,Solyc10g008900.2
,Solyc03g119660.1
,Solyc12g049160.1
,VDAG_01480T0
,Solyc03g006730.1
,XR_182444.1
,Solyc09g066260.2
,Solyc12g049080.1
,Solyc12g007260.1
,Solyc04g071090.2
,XM_004253152.1
,Solyc04g079070.2
,Solyc11g072930.1
,Solyc12g088390.1
,Solyc05g052030.1
,Solyc11g071280.1
,Solyc08g077170.2
,FOXG_14264T0
,Solyc05g054230.2
,Solyc10g083220.1
,Solyc08g081520.1
,Solyc09g008590.2
,Solyc11g011360.1
,XM_004242395.1
,Solyc07g018430.2
,Solyc08g005100.2
,Solyc06g073320.2
,Solyc08g006520.1
,Solyc11g007130.1
,Solyc01g109390.2
,Solyc11g065030.1
,Solyc10g083890.1
,Solyc12g017870.1
,Solyc03g096410.1
,Solyc06g074910.2
,Solyc09g074760.1
,Solyc07g056640.1
,Solyc07g021560.1
,Solyc02g082950.2
,Solyc12g005710.1
,Solyc03g124020.1
,Solyc12g098800.1
,Solyc04g079520.2
,Solyc04g015590.2
,Solyc12g044330.1
,Solyc07g006590.1
,Solyc04g079910.2
,Solyc02g083850.2
,Solyc06g011350.2
,Solyc05g005670.1
,Solyc02g086350.2
,XM_004233804.1
,Solyc09g063010.2
,Solyc04g077810.1
,Solyc06g050620.2
,Solyc12g005840.1
,Solyc04g055150.1
,Solyc09g014720.1
,Solyc08g079970.1
,Solyc09g014250.2
,Solyc02g087990.2
,Solyc03g111880.2
,Solyc05g007850.1
,Solyc01g098440.1
,Solyc03g098400.1
,Solyc01g087440.2
,Solyc05g043360.1
,Solyc09g009080.2
,Solyc01g091290.2
,Solyc04g055130.1
,Solyc12g049170.1
,Solyc03g059080.1
,Solyc01g098110.2
,Solyc01g088660.2
,Solyc01g096140.2
,Solyc03g114180.2
,Solyc10g075160.1
,Solyc02g084860.1
,Solyc10g080130.1
,Solyc06g005620.2
,Solyc09g072700.2
,Solyc01g105880.2
,Solyc06g075570.1
,Solyc12g088220.1
,Solyc02g083730.2
,Solyc06g071130.2
,Solyc12g006000.1
,Solyc07g043700.1
,Solyc02g093480.2
,Solyc10g083420.1
,XM_004231859.1
,Solyc08g007780.2
,Solyc11g010210.1
,Solyc06g073570.2
,Solyc01g009650.1
,Solyc02g076880.2
,Solyc02g082090.2
,Solyc12g098290.1
,Solyc07g006740.2
,VDAG_04713T0
,Solyc12g056920.1
,Solyc01g105410.2
,Solyc08g007080.2
,Solyc04g005170.1
,Solyc01g009410.2
,Solyc02g071690.1
,Solyc10g080430.1
,Solyc02g062140.2
,Solyc11g011500.1
,Solyc06g019180.1
,Solyc12g096920.1
,Solyc01g068410.2
,Solyc07g055380.1
,Solyc10g081910.1
,Solyc04g011480.2
,Solyc09g015380.1
,Solyc08g080930.1
,Solyc12g098260.1
,Solyc04g082410.2
,Solyc07g051880.1
,Solyc09g008990.2
,Solyc08g007130.2
,XM_004234646.1
,Solyc12g007240.1
,XM_004247139.1
,Solyc01g105200.2
,Solyc07g063490.2
,Solyc10g076500.1
,Solyc06g068970.2
,Solyc12g006110.1
,Solyc00g179240.1
,Solyc04g074830.1
,Solyc10g084190.1
,Solyc12g019620.1
,Solyc06g009280.1
,Solyc01g108680.2
,XM_004240683.1
,Solyc12g097080.1
,Solyc01g067860.2
,Solyc01g009400.2
,Solyc06g070990.2
,Solyc01g095830.2
,Solyc09g098110.2
,Solyc08g067310.1
,Solyc12g094580.1
,Solyc05g053170.2
,Solyc01g079980.2
,Solyc09g082190.1
,Solyc06g009250.1
,Solyc01g086910.2
,Solyc08g006100.2
,Solyc06g060500.1
,Solyc06g068960.1
,Solyc06g054270.2
,Solyc05g013870.2
,Solyc04g056570.2
,Solyc10g017960.1
,XM_004234455.1
,XM_004236090.1
,Solyc08g007610.1
,Solyc04g007200.2
,XM_004242594.1
,Solyc12g017460.1
,Solyc02g064690.2
,Solyc08g005890.2
