name,SPOT_ID
,Solyc10g079820.1
,Solyc05g041860.2
,Solyc05g054370.2
,Solyc01g094330.2
,Solyc12g044640.1
,Solyc02g063520.2
,Solyc01g103320.2
,Solyc08g078090.1
,Solyc05g047640.2
,Solyc12g056400.1
,Solyc12g006120.1
,Solyc03g093880.2
,Solyc08g077480.2
,Solyc11g017010.1
,XM_004239116.1
,Solyc01g094830.2
,Solyc06g076770.2
,Solyc02g086800.2
,Solyc02g092140.1
,Solyc08g007060.2
,XM_004242522.1
,Solyc08g042120.1
,Solyc04g049450.2
,Solyc03g112270.2
,Solyc10g054470.1
,Solyc03g032030.2
,Solyc08g076200.2
,Solyc03g119060.2
,Solyc09g074230.2
,Solyc01g006830.2
,Solyc08g065830.2
,Solyc03g116670.2
,Solyc02g078940.2
,Solyc09g042260.2
,Solyc11g013750.1
,Solyc06g051250.1
,Solyc12g010730.1
,Solyc01g080690.2
,Solyc06g005410.2
,Solyc02g091760.1
,Solyc01g068270.2
,XM_004252645.1
,Solyc06g005940.2
,Solyc01g065840.2
,XM_004252642.1
,Solyc05g054140.2
,NM_001247438.1
,Solyc03g083190.1
,Solyc04g080580.2
,Solyc09g007530.2
,Solyc09g082720.2
,Solyc07g047670.2
,Solyc09g031940.1
,Solyc01g067800.2
,Solyc05g006760.2
,Solyc09g065110.2
,Solyc07g053940.1
,Solyc02g088340.2
,Solyc05g006240.2
,Solyc11g039890.1
,XM_004239277.1
,Solyc04g008040.2
,Solyc02g090810.2
,Solyc01g091830.2
,Solyc05g007070.2
,Solyc03g025600.2
,Solyc12g094550.1
,Solyc08g015650.2
,Solyc07g054340.1
,Solyc08g068010.1
,Solyc05g044610.1
,Solyc02g014310.2
,Solyc10g086560.1
,Solyc02g084840.2
,Solyc03g033790.2
,Solyc02g086980.2
,Solyc12g013800.1
,Solyc12g005090.1
,Solyc06g008090.2
,Solyc06g073560.2
,Solyc04g071610.2
,Solyc09g065030.2
,Solyc07g006120.2
,Solyc08g041710.2
,NM_001247640.1
,Solyc01g109790.2
,Solyc03g080010.2
,Solyc12g068070.1
,Solyc07g005230.2
,XM_004241805.1
,Solyc12g008500.1
,XR_182829.1
,Solyc11g045170.1
,Solyc10g007900.2
,Solyc11g017370.1
,XM_004228870.1
,Solyc06g073060.2
,Solyc03g120420.2
,Solyc03g082380.2
,Solyc07g005970.2
,Solyc12g088310.1
,Solyc03g116330.2
,Solyc11g050890.1
,Solyc02g090850.2
,Solyc12g005040.1
,Solyc12g014410.1
,Solyc07g065270.1
,XM_004241115.1
,Solyc05g005920.2
,Solyc01g109100.2
,Solyc09g092160.2
,Solyc05g054630.2
,Solyc07g009350.2
,Solyc02g030170.2
,Solyc09g083350.2
,Solyc12g027870.1
,XM_004247710.1
,Solyc11g007900.1
,Solyc04g056600.2
,Solyc02g082740.1
,Solyc07g053200.2
,Solyc12g100310.1
,Solyc06g073730.1
,Solyc01g044340.2
,Solyc12g009620.1
,XM_004236408.1
,Solyc09g008370.1
,Solyc06g084460.2
,Solyc00g170200.1
,Solyc05g005620.2
,XM_004240299.1
,Solyc07g032090.2
,Solyc05g052820.2
,Solyc01g097980.2
,Solyc06g059870.1
,Solyc06g071440.2
,Solyc02g082900.2
,Solyc01g091370.2
,---
,Solyc05g051050.2
,Solyc08g079440.1
,Solyc11g017310.1
,Solyc03g079930.2
,Solyc11g012800.1
,Solyc01g105360.2
,Solyc11g011760.1
,XM_004242544.1
,Solyc08g081170.2
,Solyc06g082800.2
,XM_004230493.1
,Solyc12g099250.1
,Solyc02g064650.2
,Solyc04g009860.2
,Solyc00g007270.2
,Solyc05g013740.2
,Solyc08g078210.2
,Solyc10g008630.2
,Solyc02g067360.2
,XM_004239734.1
,Solyc01g065720.2
