GeneID,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618830
Solyc10g052500.2.1,15.65640746,16.12626519,0,20.55673384,3.258303716
Solyc04g081390.4.1,2.609401243,20.15783149,7.667472628,14.51063565,14.1193161
Solyc06g062360.3.1,986.35367,940.362839,1078.557816,1066.53172,1151.267313
Solyc07g065110.1.1,153.9546734,244.9176526,215.9671457,200.7304598,361.6717124
Solyc09g042665.1.1,1.304700622,0,1.277912105,1.209219638,0
Solyc02g087780.3.1,457.9499182,531.1588598,558.4475897,810.1771572,616.9055035
Solyc07g005660.4.1,1336.013437,1182.256817,1437.651118,2134.27266,1745.36469
Solyc02g084510.3.1,23.48461119,22.17361464,20.44659367,2.418439275,0
Solyc05g005020.4.1,4514.264151,4216.010456,3881.019062,4524.899884,4152.165035
Solyc01g087940.3.1,15.65640746,21.16572307,12.77912105,7.255317826,19.54982229
Solyc02g083940.3.1,92.63374414,105.8286153,81.7863747,90.69147282,106.4379214
Solyc01g109150.4.1,41.75041989,50.39457873,56.2281326,12.09219638,34.75523963
Solyc02g090110.3.1,297.4717417,263.059701,286.2523114,77.39005681,125.9877437
Solyc03g119890.4.1,538.8413568,389.0461478,422.9889066,374.8580877,486.5733549
Solyc01g098140.4.1,230.93201,182.428375,246.6370362,257.5637828,215.0480452
Solyc03g115330.2.1,82.19613917,84.66289226,94.56549574,158.4077725,131.4182499
Solyc02g093540.4.1,2.609401243,8.063132596,7.667472628,0,2.172202477
Solyc04g080160.3.1,575.3729742,595.6639206,434.4901156,759.3899324,676.6410716
Solyc01g103890.3.1,3366.127604,3186.953159,3732.781258,2264.868381,2866.221168
Solyc06g005890.3.1,99.15724725,96.75759116,81.7863747,131.8049405,134.6765536
Solyc03g006310.4.1,438.3794089,543.2535587,443.4355003,590.0991832,355.155105
Solyc10g086065.1.1,0,0,0,3.627658913,0
Solyc12g098710.2.1,5080.504221,5407.338297,6233.655246,8255.342466,8307.588373
Solyc12g056780.2.1,812.8284873,1072.396635,834.4766043,2056.882604,1336.990625
Solyc02g081520.3.1,180.0486858,154.2074109,138.0145073,181.3829456,144.4514647
Solyc01g111210.3.1,665.3973171,703.508319,518.8323145,374.8580877,303.0222455
Solyc06g062940.4.1,2242.780369,2593.305021,3178.167404,5329.030943,3956.666812
Solyc08g023645.1.1,93.93844476,134.0495794,157.1831889,496.9892711,265.0087022
Solyc06g053190.3.1,772.382768,687.3820538,705.4074818,362.7658913,498.5204685
Solyc05g042070.4.1,15.65640746,36.28409668,30.66989051,26.60283203,36.92744211
Solyc02g092370.1.1,189.1815901,198.5546402,140.5703315,139.0602583,181.3789068
Solyc01g005970.3.1,424.027702,413.2355456,370.5945103,272.0744185,361.6717124
Solyc11g012060.2.1,1135.089541,1085.499226,1345.641446,1469.20186,1561.813581
Solyc04g064830.4.1,379.6678809,441.4565096,552.0580292,735.2055397,780.9067905
Solyc09g064500.3.1,21774.14868,29170.39795,24254.77175,27949.9027,31877.07135
Solyc04g008950.4.1,23.48461119,17.13415677,56.2281326,56.83332297,52.13285945
Solyc04g080630.4.1,29079.16746,36227.65476,37332.92423,43738.68351,47310.56995
Solyc02g091690.3.1,153.9546734,231.8150621,140.5703315,180.173726,320.3998654
Solyc11g069830.2.1,169.6110808,235.8466284,215.9671457,120.9219638,120.5572375
Solyc06g069130.4.1,2.609401243,0,0,0,0
Solyc01g107440.2.1,7.82820373,15.11837362,3.833736314,8.464537463,3.258303716
Solyc09g098220.3.1,334.0033591,273.1386167,300.3093446,447.4112659,515.8980883
Solyc06g007850.3.1,28.70341368,31.24463881,26.8361542,18.13829456,23.89422725
Solyc06g036700.3.1,1.304700622,10.07891575,5.111648419,22.97517312,13.03321486
