id,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618829,GSM4618830,GSM4618831,GSM4618832,GSM4618833,GSM4618834,GSM4618835,GSM4618836
Solyc11g069790.2.1,23360,33858,12830,4252,2053,4951,33415,12029,18667,38192,41583,35651
Solyc03g078720.4.1,101,100,75,13,19,36,165,135,152,171,152,110
Solyc07g005220.1.1,18,15,9,6,15,3,16,12,14,5,12,24
Solyc00g500321.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g080920.3.1,10,2,6,0,0,0,0,6,0,0,0,0
Solyc09g064260.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g075090.3.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g018500.3.1,60,117,51,21,22,30,46,34,24,58,78,72
Solyc06g072740.1.1,249,338,257,288,244,294,514,714,483,230,190,228
Solyc03g019670.3.1,1283,2052,1403,1406,1620,1961,1617,1324,978,1137,929,1191
Solyc10g044443.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g034120.3.1,4,2,0,8,0,13,0,2,2,0,0,0
Solyc02g088630.4.1,744,1213,711,318,212,281,865,501,576,1808,1288,1320
Solyc12g035650.2.1,564,636,421,275,117,225,763,505,472,1157,1085,918
Solyc06g048840.3.1,2,0,4,0,0,2,5,2,2,2,2,0
Solyc02g064775.1.1,0,0,0,2,0,0,0,0,1,4,0,0
Solyc03g093250.2.1,6,13,3,0,0,0,4,0,0,10,33,19
Solyc05g007280.3.1,2,6,2,22,4,2,36,14,17,18,28,32
Solyc11g006730.1.1,47,29,32,12,16,26,3,15,2,10,4,10
Solyc08g083270.3.1,31,52,44,56,26,32,32,26,16,14,14,27
Solyc04g077110.3.1,7,1,4,13,8,14,5,15,6,11,6,16
Solyc02g071830.3.1,63,87,70,134,164,112,169,127,211,117,135,157
Solyc05g016670.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g072290.3.1,322,473,344,322,201,354,615,470,596,592,546,588
Solyc07g045525.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g071810.2.1,361,537,483,1259,840,875,1352,1386,1231,797,704,924
Solyc09g060080.4.1,125,140,101,106,50,66,142,100,115,375,728,245
Solyc06g061040.4.1,72,30,26,36,62,37,132,98,108,86,140,198
Solyc12g062447.1.1,0,0,0,0,0,1,0,0,0,2,0,0
Solyc05g053890.3.1,295,455,318,362,317,410,1097,1087,952,568,657,711
Solyc09g056200.3.1,170,214,227,399,301,373,295,435,312,253,213,233
Solyc11g030920.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g111950.3.1,88,204,113,114,142,167,810,393,628,638,962,821
Solyc10g055310.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g082160.4.1,412,417,507,459,365,461,573,615,535,518,420,543
Solyc01g089920.3.1,5,0,0,6,3,8,21,22,18,7,3,7
Solyc01g111160.3.1,13513,10593,8478,543,1037,1314,7514,7202,1762,12649,11228,9836
Solyc10g052714.1.1,0,0,2,0,0,0,1,3,3,0,1,0
Solyc08g082300.3.1,145,140,96,16,14,21,208,107,152,255,319,327
Solyc11g013260.3.1,1448,2040,1552,1465,864,1348,2898,2628,2197,3282,2651,3257
Solyc08g065910.1.1,6,2,9,8,9,27,55,31,58,22,19,29
Solyc09g055460.3.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g025240.2.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g071880.4.1,4659,7849,5092,9062,4805,7500,6958,6084,6371,5567,4559,6831
Solyc01g007950.4.1,122,248,138,209,103,163,334,466,265,303,172,211
Solyc12g017520.1.1,0,3,2,4,0,3,3,2,0,6,6,1
Solyc05g051940.3.1,0,0,0,0,0,0,0,15,8,2,0,0
Solyc11g069680.1.1,8,6,7,8,0,15,4,6,0,2,0,4
Solyc09g005400.3.1,0,0,0,2,0,0,0,0,0,0,0,0
Solyc05g150139.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g098220.4.1,4071,4712,4826,3700,4561,5481,4799,5460,3498,4295,3858,5009
Solyc09g065340.3.1,120,149,100,234,111,155,136,111,177,267,520,275
Solyc02g079100.3.1,1088,1170,1301,1190,886,1418,2505,2171,2027,1840,1864,1969
Solyc07g039450.3.1,752,1090,860,792,658,1101,1814,1469,1372,1229,1202,1441
Solyc03g083470.3.1,153,108,84,53,39,106,49,56,36,105,71,74
Solyc07g053470.4.1,662,736,368,225,58,156,532,290,274,1203,1192,1016
Solyc10g079210.2.1,11,22,14,37,9,12,455,327,320,159,179,200
Solyc01g100620.3.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g094790.3.1,3738,4582,4495,3683,3710,6252,3263,3754,2854,4348,6488,9351
Solyc12g100363.1.1,0,0,0,0,0,0,0,0,0,0,0,0
